batter,pitch_type,pitch_name,family,pitches,whiff,slg,xwoba
663494,CU,Curveball,Breaking,61,0.09523809523809523,0.42857142857142855,0.2079825
663494,FC,Cutter,Fastball,41,0.4117647058823529,0.5555555555555556,0.2647777777777778
663494,ST,Sweeper,Breaking,41,0.3125,0.2222222222222222,0.310272
663538,FF,4-Seam FB,Fastball,687,0.06989247311827956,0.31443298969072164,0.32387445497630335
663538,SI,Sinker,Fastball,556,0.040160642570281124,0.36538461538461536,0.34975849397590364
663538,SL,Slider,Breaking,347,0.23448275862068965,0.4625,0.2892656172839506
663538,ST,Sweeper,Breaking,213,0.12048192771084337,0.6136363636363636,0.32336533333333334
663538,CH,Changeup,Offspeed,208,0.22033898305084745,0.17543859649122806,0.2697193103448276
663538,FC,Cutter,Fastball,179,0.12345679012345678,0.36363636363636365,0.3381339583333334
663538,CU,Curveball,Breaking,117,0.10638297872340426,0.28,0.2981815384615385
663538,FS,Splitter,Offspeed,46,0.34782608695652173,0.6666666666666666,0.2645
663538,KC,Knuckle-Curve,Breaking,36,0.25,0.25,0.3461355
663586,FF,4-Seam FB,Fastball,787,0.32545931758530183,0.34444444444444444,0.3179026903553299
663586,SI,Sinker,Fastball,402,0.13875598086124402,0.4095238095238095,0.3096192608695652
663586,ST,Sweeper,Breaking,309,0.363013698630137,0.36507936507936506,0.2820917910447761
663586,SL,Slider,Breaking,289,0.37142857142857144,0.3484848484848485,0.2671368115942029
663586,CH,Changeup,Offspeed,242,0.3706896551724138,0.2909090909090909,0.23496827586206898
663586,FC,Cutter,Fastball,214,0.3761467889908257,0.47368421052631576,0.33279679487179487
663586,CU,Curveball,Breaking,118,0.2826086956521739,0.5238095238095238,0.3549418181818182
663586,FS,Splitter,Offspeed,70,0.40540540540540543,0.5714285714285714,0.25097566666666665
663586,KC,Knuckle-Curve,Breaking,43,0.5652173913043478,0.08333333333333333,0.19538857142857144
663604,FF,4-Seam FB,Fastball,145,0.31666666666666665,0.2916666666666667,0.28359666666666666
663604,SI,Sinker,Fastball,101,0.19607843137254902,0.20833333333333334,0.2270905263157895
663604,SL,Slider,Breaking,77,0.3333333333333333,0.4,0.19831578947368422
663604,CH,Changeup,Offspeed,66,0.5384615384615384,0.13333333333333333,0.17355142857142858
663604,FC,Cutter,Fastball,49,0.15,1.0,0.4652457142857143
663604,ST,Sweeper,Breaking,48,0.2608695652173913,0.45454545454545453,0.2602646153846154
663611,FF,4-Seam FB,Fastball,66,0.05555555555555555,0.42857142857142855,0.34259
663611,SI,Sinker,Fastball,48,0.0,0.2857142857142857,0.28194558823529414
