batter,family,pitches,whiff,slg,xwoba
642215,Fastball,291,0.25517241379310346,0.391304347826087,0.29565862857142855
642215,Offspeed,106,0.4716981132075472,0.08695652173913043,0.1538578181818182
642350,Breaking,232,0.45517241379310347,0.234375,0.23437630158730158
642350,Fastball,362,0.288135593220339,0.5921052631578947,0.38260387804878054
642350,Offspeed,106,0.45,0.4444444444444444,0.2773333333333334
642708,Breaking,248,0.3671875,0.5161290322580645,0.2929624
642708,Fastball,421,0.1889400921658986,0.3069306930693069,0.31269257142857143
642708,Offspeed,137,0.2988505747126437,0.5,0.2903428571428572
642715,Breaking,669,0.4,0.3051948051948052,0.24028839506172842
642715,Fastball,1123,0.2257495590828924,0.5130111524163569,0.3350768105263158
642715,Offspeed,242,0.34513274336283184,0.29411764705882354,0.2572379107142857
642851,Breaking,135,0.38333333333333336,0.11538461538461539,0.15271488
642851,Fastball,206,0.16101694915254236,0.2727272727272727,0.32908976
642851,Offspeed,43,0.34615384615384615,0.0,0.05149999999999999
643217,Breaking,439,0.3318777292576419,0.4528301886792453,0.3114878055555555
643217,Fastball,798,0.2635294117647059,0.4540540540540541,0.3206550099009901
643217,Offspeed,292,0.34965034965034963,0.2727272727272727,0.2806282105263158
643289,Breaking,572,0.21201413427561838,0.42142857142857143,0.3018606083916084
643289,Fastball,1137,0.12987012987012986,0.40145985401459855,0.31934849825783973
643289,Offspeed,215,0.1171875,0.2972972972972973,0.2552978630136986
643376,Breaking,216,0.3333333333333333,0.2,0.12954054054054054
643376,Fastball,401,0.22564102564102564,0.35555555555555557,0.2939472211538462
643376,Offspeed,61,0.4444444444444444,0.5714285714285714,0.24223076923076922
643396,Breaking,157,0.2714285714285714,0.5,0.35858175000000003
643396,Fastball,311,0.0915032679738562,0.26744186046511625,0.2818449523809524
643396,Offspeed,66,0.25,0.26666666666666666,0.3625286153846154
643446,Breaking,352,0.22777777777777777,0.32051282051282054,0.32669628571428566
643446,Fastball,869,0.12859884836852206,0.37168141592920356,0.31950642677824265
643446,Offspeed,255,0.18064516129032257,0.3291139240506329,0.25223888607594935
644433,Breaking,68,0.42105263157894735,0.1,0.15845
644433,Fastball,110,0.11290322580645161,0.23333333333333334,0.18274999999999997
645277,Breaking,642,0.23118279569892472,0.38513513513513514,0.27239323312883434
645277,Fastball,1077,0.1864406779661017,0.45454545454545453,0.32104779853479853
645277,Offspeed,430,0.21686746987951808,0.3609022556390977,0.2269751746031746
645302,Breaking,205,0.29411764705882354,0.32558139534883723,0.2604700952380953
645302,Fastball,304,0.11494252873563218,0.38095238095238093,0.3098161084337349
645302,Offspeed,59,0.47058823529411764,0.25,0.23234541176470588
645305,Breaking,60,0.3235294117647059,0.17647058823529413,0.26534323529411763
645305,Fastball,171,0.23076923076923078,0.3488372093023256,0.2266676046511628
646240,Breaking,572,0.3,0.4108527131782946,0.2952622857142857
646240,Fastball,1468,0.30701754385964913,0.5384615384615384,0.34144519940476187
646240,Offspeed,281,0.19718309859154928,0.4177215189873418,0.3397113086419753
647304,Breaking,564,0.3154121863799283,0.3230769230769231,0.25619719696969695
647304,Fastball,953,0.09523809523809523,0.4452296819787986,0.34530041721854304
647304,Offspeed,274,0.21621621621621623,0.1927710843373494,0.31577916304347825
649966,Breaking,88,0.075,0.42105263157894735,0.21760685714285716
649966,Fastball,110,0.11864406779661017,0.5,0.33805572413793106
650333,Breaking,506,0.10121457489878542,0.504424778761062,0.31469507438016525
650333,Fastball,1338,0.0677710843373494,0.42857142857142855,0.3124442156862745
650333,Offspeed,232,0.07563025210084033,0.3492063492063492,0.2752724153846154
650391,Breaking,62,0.2647058823529412,0.4117647058823529,0.2659336470588235
650391,Fastball,78,0.3333333333333333,0.35714285714285715,0.2729102857142857
650402,Breaking,419,0.22297297297297297,0.35714285714285715,0.31965820652173915
650402,Fastball,866,0.2222222222222222,0.41208791208791207,0.3391112769953052
650402,Offspeed,149,0.2553191489361702,0.3076923076923077,0.24317096296296298
650489,Breaking,443,0.3347457627118644,0.4083333333333333,0.28591582031249996
650489,Fastball,1026,0.2537037037037037,0.5211267605633803,0.3703396153846154
650489,Offspeed,401,0.3963963963963964,0.2696629213483146,0.18964131868131867
650490,Breaking,586,0.12363636363636364,0.6,0.40915533928571424
650490,Fastball,1391,0.1480916030534351,0.3881578947368421,0.3230039333333333
650490,Offspeed,212,0.14018691588785046,0.4426229508196721,0.34653198360655735
650559,Breaking,92,0.24444444444444444,0.6111111111111112,0.29710194444444443
650559,Fastball,124,0.19047619047619047,0.5,0.3324561428571429
650859,Breaking,376,0.21428571428571427,0.38372093023255816,0.27339714285714284
650859,Fastball,806,0.17277486910994763,0.3407821229050279,0.31360784577114426
650859,Offspeed,216,0.24166666666666667,0.27586206896551724,0.31445221818181823
650968,Breaking,65,0.2702702702702703,0.2631578947368421,0.19864285714285715
650968,Fastball,121,0.11904761904761904,0.28125,0.2830384615384615
655316,Breaking,459,0.22772277227722773,0.32432432432432434,0.22802885714285717
655316,Fastball,758,0.13687150837988826,0.4473684210526316,0.3435801011904762
655316,Offspeed,145,0.3287671232876712,0.48,0.36446976
656305,Breaking,425,0.24022346368715083,0.46808510638297873,0.2880844845360825
656305,Fastball,888,0.2123456790123457,0.358695652173913,0.2807628155339806
656305,Offspeed,141,0.265625,0.35,0.3047162666666667
656413,Breaking,58,0.5416666666666666,0.07692307692307693,0.03585714285714286
656413,Fastball,95,0.5531914893617021,0.36363636363636365,0.3832188333333334
656484,Breaking,254,0.4859154929577465,0.2835820895522388,0.22225369696969696
656484,Fastball,389,0.19724770642201836,0.3625,0.32246756
656484,Offspeed,154,0.43373493975903615,0.2558139534883721,0.20790400000000003
656537,Breaking,233,0.40310077519379844,0.47540983606557374,0.28713351724137937
656537,Fastball,454,0.3080568720379147,0.37894736842105264,0.28051717346938776
